Solving the file: X-n336-k84.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    335 clients
    335 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    22000    537s |  27    65814    65597 |  29    65715    65515
    22500    548s |  35    65878    65597 |  33    65782    65515
    23000    558s |  38    65913    65597 |  34    65799    65527
    23500    568s |  65    65941    65597 |  30    65792    65527
    24000    577s |  40    65967    65597 |  29    65882    65527
    24500    588s |  42    65842    65597 |  29    65819    65527
    25000    597s |  56    66019    65597 |  30    65831    65527
    25500    607s |  42    66061    65597 |  29    65929    65527
    26000    618s |  56    65980    65597 |  60    65976    65515
    26500    629s |  63    65885    65597 |  62    65734    65515
    27000    640s |  53    66016    65597 |  53    65844    65515
    27500    653s |  59    66109    65597 |  50    65663    65527
    28000    663s |  26    66175    65597 |  46    66016    65515
    28500    674s |  29    66078    65597 |  42    65782    65527
    29000    684s |  37    66100    65597 |  35    65773    65515
    29500    695s |  40    66082    65597 |  39    65774    65515
    30000    705s |  36    66081    65597 |  33    65763    65527
    30500    717s |  32    65955    65597 |  33    65904    65527
    31000    727s |  55    66013    65597 |  30    65869    65527
    31500    737s |  62    66086    65597 |  27    65798    65542
    32000    747s |  44    66116    65597 |  58    65996    65542
    32500    758s |  48    66012    65597 |  49    65756    65527
    33000    768s |  28    66150    65597 |  44    65959    65527
    33500    779s |  45    66101    65597 |  43    65724    65527
    34000    790s |  65    66005    65597 |  44    65786    65527
    34500    800s |  63    66046    65597 |  36    65773    65482
    35000    811s |  61    65948    65597 |  31    65766    65527
    35500    821s |  49    65996    65597 |  27    65762    65527
    36000    831s |  63    65970    65597 |  31    65866    65527
H   36500    841s |  64    65683    65586 |  46    65787    65513
    37000    851s |  31    66259    65586 |  52    64217    61867
    37500    877s |  45    67062    65586 |  44    63914    61407
    38000    906s |  57    67019    65586 |  61    70706    65578
    38500    920s |  33    66359    65586 |  52    57678    45324
    39000    943s |  38    66191    65586 |  51    65876    65545
    39500    955s |  41    65937    65586 |  27    65691    65535
    40000    982s |  58    66280    65586 |  37    66093    65547
H   40500    999s |  34    65903    65577 |  51    65917    65540
H   41000   1016s |  62    65937    65569 |  51    65857    61697
    41500   1039s |  46    65894    65569 |  40    50756    45273
    42000   1062s |  47    66007    65569 |  62    65659    65523
    42500   1088s |  47    66667    65569 |  58    72093    65523
    43000   1105s |  43    66663    65569 |  41    69460    65464
    43500   1123s |  31    66127    65569 |  60    65737    65516
    44000   1137s |  52    66020    65569 |  51    66015    65512
    44500   1157s |  49    65989    65569 |  43    65706    65512
    45000   1166s |  49    65856    65569 |  30    65770    65518
    45500   1177s |  27    65939    65569 |  58    65845    65506
    46000   1190s |  41    65970    65569 |  60    65680    65504
    46500   1208s |  50    65833    65569 |  44    65672    65504
    47000   1236s |  38    66351    65569 |  47    66362    65492
    47500   1253s |  41    67039    65569 |  52    73967    65480
    48000   1271s |  34    65718    65569 |  53    65616    65489
    48500   1297s |  25    66345    65569 |  47    69949    65533
    49000   1316s |  45    66017    65569 |  32    65948    65509
    49500   1341s |  28    66042    65569 |  35    66338    65533
    50000   1359s |  46    66137    65569 |  52    65991    65519
H   50500   1368s |  34    65757    65562 |  62    65763    65518
    51000   1396s |  65    66750    65562 |  60    72074    65503
    51500   1423s |  44    65924    65562 |  32    59878    45613
    52000   1446s |  50    65953    65562 |  26    65324    61982
    52500   1461s |  38    66629    65562 |  29    63404    61584
    53000   1481s |  42    65914    65562 |  44    65698    65503
    53500   1499s |  40    65941    65562 |  50    65997    65524
    54000   1509s |  61    65910    65562 |  60    65789    65514
    54500   1533s |  61    66316    65562 |  32    65063    61946
    55000   1556s |  59    65916    65562 |  43    57019    45387
    55500   1579s |  40    66792    65562 |  48    63974    61934
    56000   1590s |  36    65900    65562 |  57    65736    65503
    56500   1608s |  25    65983    65562 |  37    66142    65526
    57000   1626s |  30    66272    65562 |  37    65742    65518
    57500   1639s |  43    66144    65562 |  39    65876    65517
    58000   1652s |  57    66053    65562 |  53    65803    65512
    58500   1670s |  49    66842    65562 |  32    66190    65502
    59000   1690s |  32    66121    65562 |  52    65916    65511
    59500   1702s |  53    65892    65562 |  56    65740    65491
    60000   1714s |  40    65868    65562 |  54    65739    65491
    60500   1728s |  60    66031    65562 |  62    65887    65497
    61000   1748s |  62    66171    65562 |  32    65817    65519
H   61500   1770s |  39    66621    65560 |  52    70116    65516
    62000   1795s |  51    66748    65560 |  55    64940    61723
    62500   1816s |  58    66051    65560 |  27    62442    45551
    63000   1845s |  34    66198    65560 |  35    50997    45290
    63500   1869s |  34    65883    65560 |  56    61450    45091
    64000   1888s |  60    66141    65560 |  27    62147    45476
    64500   1917s |  25    66218    65560 |  33    51975    45410
    65000   1934s |  36    65986    65560 |  36    65771    65528
    65500   1961s |  33    65911    65560 |  44    66171    65526
    66000   1987s |  31    66272    65560 |  65    76296    65516
    66500   2012s |  55    66755    65560 |  27    63471    61863
    67000   2035s |  45    66849    65560 |  42    67709    65539
H   67500   2055s |  30    65800    65557 |  33    65697    65539
    68000   2081s |  51    66727    65557 |  52    71530    65533
    68500   2109s |  65    66638    65557 |  35    66275    65555
    69000   2136s |  51    66041    65557 |  60    66034    65555
    69500   2161s |  33    66103    65557 |  27    65973    65532
    70000   2174s |  41    65933    65557 |  44    65872    65526
    70500   2199s |  29    66495    65557 |  43    72732    65843
    71000   2218s |  56    66761    65557 |  64    75371    65746
    71500   2244s |  41    66800    65557 |  38    71202    65964
    72000   2272s |  62    66635    65557 |  61    69858    65557
    72500   2292s |  42    66822    65557 |  61    71142    65522
    73000   2318s |  54    66108    65557 |  45    66633    65497
    73500   2344s |  51    66880    65557 |  42    72049    65533
    74000   2368s |  37    66290    65557 |  56    66382    61918
    74500   2393s |  26    66156    65557 |  56    52762    44987
    75000   2416s |  32    65872    65557 |  58    65836    65521
    75500   2432s |  57    66430    65557 |  39    63690    61749
    76000   2453s |  32    65885    65557 |  52    57224    45394
    76500   2477s |  58    65973    65557 |  53    63984    45477
    77000   2509s |  49    66231    65557 |  28    64487    61698
    77500   2531s |  44    66057    65557 |  44    66213    65533
    78000   2557s |  26    65941    65557 |  57    65881    65526
    78500   2583s |  36    65969    65557 |  33    65893    65526
    79000   2601s |  41    66124    65557 |  26    65635    65526
    79500   2627s |  54    66227    65557 |  35    66198    65514
    80000   2645s |  37    66736    65557 |  27    64012    61831
    80500   2674s |  54    66904    65557 |  55    70126    65551
    81000   2694s |  28    66153    65557 |  49    65921    65523
    81500   2722s |  50    66287    65557 |  54    66535    65555
    82000   2744s |  56    66743    65557 |  52    69183    65497
    82500   2770s |  31    66176    65557 |  35    66111    65533
    83000   2796s |  46    66162    65557 |  36    66073    65555
    83500   2822s |  38    66443    65557 |  34    66522    65545
    84000   2848s |  64    65882    65557 |  43    65926    65515
    84500   2871s |  36    66658    65557 |  36    64694    61740
    85000   2891s |  53    65889    65557 |  44    66245    65514
    85500   2925s |  48    66805    65557 |  26    68366    65533
    86000   2946s |  55    66074    65557 |  64    61419    45199
    86500   2978s |  58    66453    65557 |  37    63499    61733
    87000   3004s |  52    65966    65557 |  50    65434    45860
R                 |        restart        |        restart
    87500   3032s |  51    74479    67414 |  65    67964    67158
    88000   3048s |  45    74425    66556 |  42    67045    66499
    88500   3066s |  65    72030    66441 |  27    66796    66140
    89000   3082s |  34    76185    66228 |  48    66570    66017
    89500   3096s |  57    66645    66028 |  35    66204    65954
    90000   3109s |  48    66447    65977 |  65    66302    65904
    90500   3125s |  55    66441    65938 |  58    66264    65872
    91000   3138s |  37    66337    65853 |  40    66069    65808
    91500   3152s |  58    66232    65813 |  62    66163    65796
    92000   3164s |  64    66007    65795 |  45    66028    65782
    92500   3176s |  26    65988    65756 |  26    65854    65750
    93000   3194s |  46    66317    65729 |  56    66913    65714
    93500   3205s |  38    65976    65719 |  63    65913    65711
    94000   3215s |  35    65740    65683 |  28    65746    65657
    94500   3228s |  34    65920    65675 |  52    65820    65654
    95000   3239s |  29    65777    65675 |  56    65826    65653
    95500   3253s |  32    65815    65673 |  57    65731    65641
    96000   3264s |  32    65849    65673 |  65    65760    65652
    96500   3275s |  63    65903    65673 |  31    65704    65649
    97000   3285s |  30    65920    65673 |  39    65769    65645
    97500   3296s |  38    65918    65673 |  47    65728    65645
    98000   3307s |  40    65934    65673 |  55    65773    65645
    98500   3320s |  37    65980    65673 |  61    66066    65649
    99000   3333s |  28    66382    65673 |  48    67166    65626
    99500   3347s |  37    65983    65673 |  45    65330    61904
   100000   3362s |  44    66390    65673 |  26    66369    65644
   100500   3373s |  27    65737    65673 |  34    65730    65652
   101000   3383s |  42    65758    65673 |  41    65761    65650
   101500   3393s |  34    65805    65669 |  48    65733    65649
   102000   3406s |  45    65940    65669 |  46    66038    65632
   102500   3419s |  51    65909    65669 |  37    65865    65645
   103000   3436s |  56    66012    65669 |  33    65745    65632
   103500   3447s |  32    65881    65669 |  39    65778    65632
   104000   3458s |  27    66119    65669 |  45    65990    65632
   104500   3469s |  46    65976    65669 |  32    65749    65592
   105000   3485s |  48    65971    65669 |  40    65756    65631
   105500   3496s |  34    65887    65669 |  48    65763    65631
   106000   3510s |  46    66106    65669 |  34    65805    65631
   106500   3521s |  40    65908    65669 |  28    65795    65645
   107000   3534s |  27    66015    65669 |  62    65798    65630
R                 |        restart        |        restart
   107500   3549s |  48    74839    67439 |  28    67815    67205
   108000   3565s |  25    67059    66708 |  42    67033    66522
   108500   3580s |  41    66797    66312 |  26    66458    66233
   109000   3594s |  62    66661    66188 |  45    66513    66112

Search terminated in 3600.05s after 109200 iterations.
Best-found solution has cost 65557.

Solution results
================
    # routes: 61
   # clients: 428
   objective: 65557
    distance: 65557
    duration: 65557
# iterations: 109200
    run-time: 3600.05 seconds

Solving the file: X-n439-k37.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    438 clients
    438 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     16s |  27    48087    37089 |  28    37566    37151
H    1000     30s |  28    37107    36881 |  50    37401    36946
H    1500     44s |  50    36969    36729 |  52    37218    36887
H    2000     63s |  57    36978    36713 |  33    36999    36662
H    2500     76s |  58    36851    36651 |  49    35504    25569
H    3000     97s |  48    36926    36634 |  54    36871    36575
H    3500    118s |  25    36787    36613 |  33    37127    36697
H    4000    128s |  48    36676    36593 |  48    36979    36698
H    4500    148s |  44    37039    36587 |  45    38425    36650
H    5000    168s |  46    37355    36584 |  63    36874    35823
H    5500    186s |  61    36959    36579 |  56    37170    36596
     6000    202s |  25    36669    36579 |  32    36948    36624
H    6500    218s |  46    36756    36577 |  56    36780    36477
     7000    228s |  46    37103    36577 |  64    35169    32954
H    7500    245s |  47    36863    36576 |  43    36861    36625
     8000    269s |  38    36757    36576 |  44    38394    36647
H    8500    297s |  40    37233    36551 |  34    36391    35754
     9000    319s |  34    36872    36551 |  44    36703    35670
     9500    340s |  49    37239    36551 |  56    36866    35657
H   10000    365s |  54    36828    36550 |  25    37229    36591
    10500    394s |  25    36646    36550 |  55    37569    36630
H   11000    409s |  39    36926    36546 |  43    33715    29528
H   11500    441s |  41    37013    36545 |  54    36238    35613
H   12000    467s |  37    37099    36506 |  32    36927    35860
H   12500    489s |  50    37059    36499 |  42    31058    25960
    13000    524s |  52    37039    36499 |  64    38437    36658
H   13500    554s |  49    36910    36480 |  43    37362    36558
H   14000    577s |  39    36965    36479 |  40    36427    35580
H   14500    601s |  40    37205    36476 |  50    29970    25922
    15000    627s |  64    36705    36476 |  27    34250    26451
    15500    666s |  47    37279    36476 |  45    33601    32746
    16000    693s |  46    37324    36476 |  64    30607    29129
    16500    716s |  49    36595    36476 |  26    37360    36572
    17000    740s |  43    36680    36476 |  41    37585    36545
    17500    771s |  29    36834    36476 |  26    30983    26135
    18000    798s |  57    36772    36476 |  46    37251    36568
    18500    816s |  54    36742    36476 |  31    36882    36560
    19000    844s |  45    36925    36476 |  49    37929    36564
H   19500    871s |  46    37422    36464 |  65    33408    32741
    20000    901s |  61    37451    36464 |  50    33705    32618
H   20500    925s |  49    36717    36455 |  60    34865    29403
    21000    950s |  55    36721    36455 |  49    37121    36577
H   21500    974s |  26    36733    36452 |  36    31276    29087
    22000   1005s |  64    37430    36452 |  46    36968    35750
    22500   1038s |  54    37043    36452 |  41    31097    29008
H   23000   1071s |  60    36947    36450 |  39    31346    29052
    23500   1096s |  47    36748    36450 |  53    37098    36530
H   24000   1122s |  60    36693    36442 |  27    36796    36507
    24500   1140s |  64    36530    36442 |  40    36577    36385
    25000   1164s |  44    37164    36442 |  32    33760    32762
    25500   1184s |  35    36554    36442 |  59    36989    36455
    26000   1212s |  28    36609    36442 |  32    36913    36501
    26500   1243s |  62    36826    36442 |  26    36815    36500
    27000   1271s |  60    37058    36442 |  41    37398    36572
    27500   1298s |  29    36793    36442 |  61    33642    32633
    28000   1330s |  47    36882    36442 |  63    37846    36503
    28500   1350s |  57    36671    36442 |  49    36908    36526
    29000   1375s |  27    36654    36442 |  57    37104    36499
    29500   1397s |  52    37492    36442 |  46    30878    29007
    30000   1432s |  50    37058    36442 |  56    38061    36495
    30500   1453s |  28    36827    36442 |  42    35076    29675
    31000   1468s |  34    36632    36442 |  27    36580    36502
    31500   1496s |  41    36960    36442 |  49    29254    25927
    32000   1522s |  61    37299    36442 |  33    36331    35723
    32500   1538s |  59    36605    36442 |  53    36763    36532
H   33000   1559s |  27    36651    36441 |  45    33783    32592
    33500   1580s |  50    36592    36441 |  42    36541    36402
    34000   1603s |  53    37223    36441 |  44    33812    32658
    34500   1630s |  42    37285    36441 |  33    33358    32555
    35000   1654s |  53    37348    36441 |  48    37002    35899
    35500   1677s |  49    37271    36441 |  51    30590    29004
    36000   1710s |  56    37290    36441 |  28    37189    36591
    36500   1731s |  33    36682    36441 |  59    36934    36525
    37000   1755s |  55    37179    36441 |  31    37481    36507
    37500   1775s |  32    36749    36441 |  34    36746    36464
    38000   1792s |  44    36773    36441 |  54    36237    29914
    38500   1820s |  44    36899    36441 |  50    37707    36653
    39000   1839s |  31    36773    36441 |  30    37239    36513
    39500   1857s |  33    36637    36441 |  50    36684    36525
    40000   1878s |  33    36955    36441 |  55    33721    26201
    40500   1902s |  42    36757    36441 |  34    37010    36520
    41000   1916s |  26    36556    36441 |  33    36705    36532
    41500   1933s |  52    37105    36441 |  52    34107    32811
    42000   1953s |  28    36737    36441 |  65    36774    36422
    42500   1968s |  52    36762    36441 |  59    37066    36533
    43000   1975s |  41    36535    36441 |  48    36571    36532
    43500   1989s |  57    36629    36441 |  56    36908    36499
    44000   2017s |  65    36879    36441 |  35    31760    27054
    44500   2033s |  35    36621    36441 |  47    36796    36555
    45000   2051s |  30    36749    36441 |  39    37704    36623
    45500   2067s |  40    36983    36441 |  47    37625    36451
    46000   2081s |  47    36707    36441 |  44    37016    36496
    46500   2104s |  30    36972    36441 |  52    32829    31358
    47000   2125s |  55    36874    36441 |  30    36951    36378
    47500   2158s |  63    36960    36441 |  28    31962    28676
    48000   2173s |  52    36694    36441 |  28    36570    36374
    48500   2192s |  31    36753    36441 |  64    36725    36461
    49000   2200s |  59    36577    36441 |  31    36839    36578
    49500   2208s |  26    36689    36441 |  65    36775    36492
    50000   2221s |  27    36812    36441 |  62    38218    36579
    50500   2240s |  54    36710    36441 |  33    36853    36532
    51000   2263s |  45    37427    36441 |  48    33847    32711
    51500   2286s |  38    36992    36441 |  45    38084    36493
    52000   2297s |  54    36641    36441 |  57    36810    36518
    52500   2322s |  49    37274    36441 |  65    38580    36681
R                 |        restart        |        restart
    53000   2335s |  64    41982    37059 |  60    37738    37291
    53500   2346s |  62    41693    36782 |  43    37130    36912
    54000   2367s |  48    43019    36753 |  51    35628    27924
    54500   2397s |  63    42137    36734 |  53    38538    36942
    55000   2425s |  33    37077    36681 |  39    35968    35096
    55500   2443s |  55    37111    36630 |  31    37183    36566
    56000   2462s |  40    36919    36627 |  48    36919    36564
    56500   2477s |  63    37293    36580 |  44    38395    36713
    57000   2493s |  37    37067    36578 |  32    36151    35294
    57500   2515s |  47    36757    36556 |  38    36741    36487
    58000   2530s |  64    36664    36536 |  25    36986    36635
    58500   2560s |  55    37158    36536 |  53    30459    29059
    59000   2583s |  61    37290    36527 |  25    33771    32788
    59500   2608s |  28    36816    36527 |  60    36266    35658
    60000   2631s |  57    37455    36527 |  34    37165    35984
    60500   2656s |  50    36812    36516 |  47    30260    29153
    61000   2684s |  43    37125    36516 |  39    31497    29335
    61500   2707s |  26    36602    36511 |  59    37106    36595
    62000   2734s |  27    36668    36511 |  63    36954    35845
    62500   2752s |  62    37324    36510 |  45    36242    35739
    63000   2775s |  39    37128    36496 |  57    33919    32793
    63500   2795s |  51    36592    36496 |  48    36839    36558
    64000   2816s |  39    36609    36496 |  53    37201    36561
    64500   2841s |  43    36795    36496 |  25    37072    36509
    65000   2866s |  55    36799    36496 |  31    36933    36551
    65500   2886s |  64    36918    36496 |  64    34102    29323
    66000   2905s |  33    36610    36491 |  27    37285    36567
    66500   2930s |  50    36770    36490 |  42    36989    36522
    67000   2946s |  61    36625    36471 |  25    36757    36548
    67500   2980s |  30    36624    36471 |  36    37297    36542
    68000   3010s |  54    36725    36471 |  60    36837    36463
    68500   3025s |  41    36558    36470 |  26    36854    36542
    69000   3047s |  37    36548    36470 |  30    36543    35944
    69500   3074s |  37    36630    36470 |  36    33653    26174
    70000   3097s |  29    36647    36470 |  48    36416    35677
    70500   3116s |  64    36597    36470 |  28    35974    30492
    71000   3143s |  56    36698    36470 |  50    32580    26416
    71500   3170s |  49    36718    36470 |  27    38291    36629
    72000   3185s |  44    36587    36470 |  33    36679    36557
    72500   3208s |  57    37110    36470 |  36    37394    36540
R                 |        restart        |        restart
    73000   3224s |  61    42223    37023 |  26    37801    37276
    73500   3246s |  40    37253    36753 |  47    37801    36552
    74000   3262s |  32    37156    36681 |  27    35009    34257
    74500   3292s |  26    37022    36667 |  41    37074    36611
    75000   3314s |  38    36764    36640 |  53    36881    36672
    75500   3343s |  31    36853    36606 |  47    38010    36659
    76000   3364s |  33    36812    36578 |  29    37214    36707
    76500   3376s |  65    36740    36551 |  57    36812    36615
    77000   3399s |  49    37334    36480 |  44    33359    32562
    77500   3432s |  50    37112    36467 |  55    38455    36664
    78000   3448s |  28    36516    36463 |  36    37223    36534
    78500   3475s |  34    36565    36454 |  46    37280    36573
    79000   3506s |  39    37150    36453 |  25    30465    29108
    79500   3526s |  46    36830    36447 |  29    37261    36514
    80000   3554s |  26    36634    36447 |  51    33612    32774
    80500   3585s |  39    37059    36447 |  41    30389    29203

Search terminated in 3600.06s after 80745 iterations.
Best-found solution has cost 36441.

Solution results
================
    # routes: 37
   # clients: 438
   objective: 36441
    distance: 36441
    duration: 36441
# iterations: 80745
    run-time: 3600.06 seconds

Solving the file: X-n449-k29.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    448 clients
    448 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     30s |  35    76413    57282 |  50    57710    56647
H    1000     48s |  62    67900    56781 |  38    57249    56785
H    1500     67s |  47    57093    56526 |  39    57082    56474
H    2000     83s |  54    56822    56423 |  30    56725    56426
H    2500    100s |  45    56800    56348 |  41    56772    56338
H    3000    119s |  59    58021    56292 |  44    54650    53292
     3500    143s |  55    56979    56292 |  28    56578    56246
H    4000    160s |  62    56639    56239 |  29    56408    56245
H    4500    174s |  42    56790    56209 |  51    56691    56148
     5000    207s |  58    57082    56209 |  45    57002    56225
H    5500    232s |  55    57009    56184 |  61    57274    56034
H    6000    250s |  56    57659    56031 |  27    53996    53177
     6500    281s |  30    56437    56031 |  59    56447    56027
H    7000    306s |  59    56541    56005 |  34    57121    56004
H    7500    321s |  36    56276    55915 |  62    56261    55915
H    8000    336s |  31    56146    55863 |  55    56466    55863
H    8500    363s |  38    56093    55851 |  59    56299    55847
H    9000    389s |  45    55997    55845 |  43    56115    55837
H    9500    421s |  53    57712    55837 |  53    53385    52067
H   10000    453s |  51    56084    55833 |  33    56103    55843
    10500    488s |  60    57315    55833 |  47    56898    55839
    11000    517s |  42    56252    55833 |  26    56188    55832
H   11500    550s |  54    57719    55830 |  42    53234    52153
    12000    578s |  50    56962    55830 |  54    58917    55830
H   12500    606s |  58    56312    55828 |  62    56291    55830
H   13000    638s |  52    57295    55817 |  61    61003    55825
    13500    662s |  59    55937    55817 |  57    55061    39163
    14000    683s |  64    56443    55817 |  31    55479    53094
    14500    710s |  49    57308    55817 |  43    53962    52918
    15000    738s |  62    56376    55817 |  39    43175    38470
H   15500    758s |  54    57153    55807 |  33    54243    53154
H   16000    784s |  27    56039    55791 |  53    56570    55792
H   16500    808s |  43    57228    55766 |  41    53305    52265
H   17000    824s |  63    56171    55761 |  38    55989    55764
H   17500    846s |  37    56291    55741 |  41    56038    55741
H   18000    860s |  39    56018    55715 |  42    56054    55731
H   18500    882s |  48    55874    55714 |  45    55964    55714
    19000    917s |  28    56225    55714 |  62    50494    38470
H   19500    946s |  63    55907    55710 |  43    55851    55700
    20000    966s |  48    55856    55710 |  63    55843    55709
H   20500   1003s |  65    57662    55706 |  42    53736    52445
    21000   1035s |  51    57483    55706 |  49    53656    52345
    21500   1058s |  49    56008    55706 |  58    56289    55704
    22000   1076s |  40    55751    55706 |  55    55759    55699
    22500   1098s |  63    55775    55706 |  59    55831    55706
H   23000   1124s |  54    55877    55703 |  44    55772    55697
    23500   1148s |  61    56359    55703 |  58    54326    52493
H   24000   1166s |  59    55961    55694 |  28    55925    55686
H   24500   1184s |  40    57036    55692 |  56    53855    52264
H   25000   1201s |  41    56050    55686 |  64    57758    55684
    25500   1212s |  29    55836    55686 |  26    55741    55684
    26000   1227s |  61    56045    55686 |  53    55987    55685
H   26500   1239s |  63    56262    55679 |  36    56006    55679
    27000   1253s |  55    56683    55679 |  46    56546    55701
    27500   1277s |  38    56022    55679 |  40    56442    55682
    28000   1309s |  35    56281    55679 |  57    56645    55682
    28500   1327s |  25    55839    55679 |  57    53981    52568
    29000   1344s |  31    55808    55679 |  41    55848    55678
H   29500   1363s |  53    55934    55678 |  58    56186    55676
    30000   1378s |  51    56071    55678 |  51    56117    55678
    30500   1403s |  37    56324    55678 |  48    60139    55684
    31000   1423s |  63    56210    55678 |  46    52058    38765
    31500   1451s |  38    55932    55678 |  60    56114    55678
    32000   1476s |  64    56078    55678 |  35    56182    55681
    32500   1499s |  61    56126    55678 |  41    56188    55676
    33000   1514s |  43    56466    55678 |  63    56619    55666
    33500   1539s |  44    55990    55678 |  34    55777    55678
    34000   1554s |  63    56067    55678 |  52    56066    55678
H   34500   1574s |  64    57321    55677 |  28    56516    55802
H   35000   1595s |  36    56110    55660 |  43    56296    55678
    35500   1610s |  54    57278    55660 |  31    53980    52486
H   36000   1630s |  29    56200    55652 |  25    56649    55657
H   36500   1659s |  29    56087    55636 |  57    61016    55914
H   37000   1681s |  52    55961    55635 |  42    55903    55641
    37500   1697s |  44    56374    55635 |  42    55481    52950
H   38000   1728s |  26    55899    55633 |  27    56819    55640
    38500   1752s |  33    56789    55633 |  59    46403    38491
    39000   1780s |  30    55859    55633 |  59    56098    55636
    39500   1808s |  59    56061    55633 |  57    55947    55634
    40000   1828s |  54    57363    55633 |  44    58161    55640
    40500   1852s |  49    55981    55633 |  49    56153    55636
    41000   1874s |  50    56108    55633 |  27    55737    54490
    41500   1901s |  64    57344    55633 |  47    57431    55625
    42000   1925s |  49    56153    55633 |  51    56547    55638
    42500   1947s |  53    56244    55633 |  55    56404    55634
    43000   1964s |  31    56456    55633 |  35    53550    52645
    43500   1997s |  62    56095    55633 |  30    56092    55634
H   44000   2013s |  55    57144    55628 |  65    54270    52775
    44500   2040s |  63    57658    55628 |  45    53797    52520
    45000   2075s |  43    56177    55628 |  43    56179    55637
H   45500   2106s |  40    55985    55607 |  39    56396    55616
H   46000   2132s |  34    56669    55588 |  64    51187    39052
H   46500   2158s |  43    55914    55570 |  29    55794    55586
    47000   2192s |  52    56068    55570 |  34    56408    55597
H   47500   2217s |  54    56377    55564 |  31    45811    38775
    48000   2246s |  61    56287    55564 |  37    55926    55557
    48500   2278s |  64    56989    55564 |  48    56501    55557
    49000   2301s |  58    56218    55564 |  50    50617    39238
    49500   2327s |  60    55847    55564 |  62    56512    55567
    50000   2358s |  64    57821    55564 |  50    53366    52050
    50500   2382s |  61    57070    55564 |  39    56767    55567
    51000   2401s |  64    57505    55564 |  51    59341    55572
    51500   2421s |  44    55900    55564 |  56    55964    55583
    52000   2447s |  47    55855    55564 |  34    56282    55577
    52500   2475s |  57    57593    55564 |  31    61281    56658
    53000   2497s |  58    56033    55564 |  27    55757    55567
    53500   2518s |  43    56634    55564 |  26    56949    55572
    54000   2553s |  52    56523    55564 |  42    57647    55567
H   54500   2578s |  56    55795    55560 |  62    55908    55563
    55000   2609s |  41    55854    55560 |  63    56097    55553
    55500   2640s |  53    56249    55560 |  29    55711    55553
    56000   2670s |  57    57618    55560 |  65    53456    52215
    56500   2707s |  57    57602    55560 |  38    54052    52509
H   57000   2741s |  59    56837    55549 |  44    53974    52744
H   57500   2774s |  27    56144    55543 |  42    53450    52124
    58000   2811s |  56    57707    55543 |  34    53428    52170
    58500   2849s |  25    55770    55543 |  57    53422    52198
    59000   2887s |  44    57258    55543 |  36    53504    52348
    59500   2913s |  40    56111    55543 |  61    56415    55556
    60000   2946s |  27    55858    55543 |  56    56607    55546
    60500   2977s |  39    56307    55543 |  33    56953    55556
    61000   2990s |  65    55828    55543 |  55    53593    38933
    61500   3018s |  45    55826    55543 |  30    55792    55546
    62000   3050s |  29    56304    55543 |  37    53248    52268
    62500   3090s |  43    57271    55543 |  28    53168    52177
    63000   3124s |  59    56315    55543 |  50    56414    55546
    63500   3157s |  63    56339    55543 |  49    56520    55569
    64000   3197s |  41    57022    55543 |  59    53800    52060
    64500   3230s |  48    56726    55543 |  29    43399    38060
    65000   3263s |  53    56334    55543 |  34    43267    38012
    65500   3302s |  39    57164    55543 |  59    54070    52400
    66000   3337s |  59    57275    55543 |  64    68441    55546
    66500   3368s |  63    57713    55543 |  30    53752    52343
    67000   3401s |  29    56162    55543 |  26    52990    52142
    67500   3425s |  63    57293    55543 |  34    56601    55536
    68000   3457s |  28    56042    55543 |  38    56862    55536
    68500   3495s |  41    56808    55543 |  52    53128    52128
    69000   3516s |  30    56230    55543 |  60    60952    55538
    69500   3541s |  33    55694    55543 |  47    55610    55536
    70000   3563s |  38    55898    55543 |  58    55656    55536
    70500   3597s |  54    56612    55543 |  29    56347    55536

Search terminated in 3600.16s after 70568 iterations.
Best-found solution has cost 55543.

Solution results
================
    # routes: 29
   # clients: 448
   objective: 55543
    distance: 55543
    duration: 55543
# iterations: 70568
    run-time: 3600.16 seconds

Solving the file: X-n459-k26.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    458 clients
    458 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     25s |  40    31350    24795 |  32    24908    24644
H    1000     44s |  32    24773    24558 |  54    24761    24536
H    1500     62s |  54    24600    24405 |  55    24519    24398
H    2000     78s |  40    24514    24351 |  44    24477    24343
H    2500     94s |  37    24468    24340 |  31    24421    24339
H    3000    108s |  50    24471    24330 |  28    24439    24317
H    3500    122s |  50    24406    24295 |  59    24392    24282
H    4000    136s |  57    24400    24280 |  60    24367    24279
H    4500    150s |  45    24407    24271 |  50    24331    24254
H    5000    164s |  48    24445    24265 |  56    24388    24249
H    5500    176s |  36    24314    24243 |  49    24277    24240
H    6000    188s |  54    24301    24238 |  48    24331    24221
     6500    200s |  63    24316    24238 |  46    24299    24219
